"Applicant_ID","Month","Monthly_Income","Annual_Income","Employment_Status","House_Status","Employment_History_Years","Online_Spending_Behavior_Score","Utility_Bill_Payment_Score","Number_of_Open_Accounts","Credit_History_Years","Food_Expense","Transportation_Expense","Home_Utility_Expense","Shopping_Expense","Environmental_Spending","Loan_Amount_Requested","Loan_Term","Purpose","Approval_Status"
3,6,3480.93251882431,44000,"part time","Own",10,11,32,8,5,867.688738795006,342.08314838543,276.331833046185,676.275876708171,152.122777747186,NA,NA,NA,NA
3,7,3827.58177858777,44000,"part time","Own",10,11,32,8,5,944.462713628402,564.011623753425,206.868340649235,548.318285556925,140.746061677882,NA,NA,NA,NA
3,8,3593.07967995604,44000,"part time","Own",10,11,32,8,5,571.815343415979,328.132985052345,208.498535439236,407.388119925601,111.36849149256,NA,NA,NA,NA
3,9,3630.73474016661,44000,"part time","Own",10,11,32,8,5,650.703651551997,316.537914738668,224.789317654835,547.278170842726,76.9932073183219,NA,NA,NA,NA
3,10,3952.96653203356,44000,"part time","Own",10,11,32,8,5,524.600989109378,410.488177011353,320.620231158196,925.263460465125,78.0791244272824,NA,NA,NA,NA
3,11,4002.40009912911,44000,"part time","Own",10,11,32,8,5,785.164439198779,515.304947094826,292.013432246698,488.855348854154,98.4212388046865,NA,NA,NA,NA
3,12,3571.57724569552,44000,"part time","Own",10,11,32,8,5,601.215476337474,343.895047385255,181.385160831113,503.189132524513,140.087107700293,2970.97427851986,7,"Home Improvement","Approved"
4,1,8483.98654263001,93000,"full time","Own",3,65,67,6,19,2198.6561110955,1244.97321397285,717.085231677778,922.516780184371,156.278838121191,NA,NA,NA,NA
4,2,7778.32509792643,93000,"full time","Own",3,65,67,6,19,830.646399926124,742.370714027985,390.545507489791,1529.00304158006,352.755466676635,NA,NA,NA,NA
4,3,7369.90553523647,93000,"full time","Own",3,65,67,6,19,2110.51413755417,594.199446893697,649.99899253779,1522.81993702954,333.972984475842,NA,NA,NA,NA
4,4,7088.58484756202,93000,"full time","Own",3,65,67,6,19,1049.53581039797,855.998523386287,466.503808929972,1273.37507995364,311.410595457423,NA,NA,NA,NA
4,5,7940.88112122845,93000,"full time","Own",3,65,67,6,19,889.290244839179,789.773361668166,463.089201610659,908.166540883535,220.155441975664,NA,NA,NA,NA
4,6,7493.18128358573,93000,"full time","Own",3,65,67,6,19,1628.82580063619,990.185056817026,734.001132523843,816.629929630859,225.899521449952,NA,NA,NA,NA
4,7,8499.01331447763,93000,"full time","Own",3,65,67,6,19,2374.94887739054,1095.40357277752,605.478581962474,1415.77443636582,366.550365160933,NA,NA,NA,NA
4,8,7083.94200428156,93000,"full time","Own",3,65,67,6,19,1189.71894618828,544.224608931654,701.283361334094,845.496802933622,109.668187278245,NA,NA,NA,NA
4,9,7179.73272392992,93000,"full time","Own",3,65,67,6,19,2006.4775551236,816.476038233008,475.966936528919,1200.82251574178,340.625450117017,NA,NA,NA,NA
4,10,7443.47193484427,93000,"full time","Own",3,65,67,6,19,1465.20120653389,388.285378024992,565.120739637091,1504.80040034017,319.005658040064,NA,NA,NA,NA
4,11,8025.98995276494,93000,"full time","Own",3,65,67,6,19,2228.48749134685,972.604823292672,652.437010812546,1309.45129508634,309.474950041291,NA,NA,NA,NA
4,12,7624.43812967977,93000,"full time","Own",3,65,67,6,19,938.675583108804,1012.59199915744,722.60311179209,1528.46728118377,165.535579418673,3888.14718546346,24,"Home Improvement","Approved"
5,1,2877.0837550556,37000,"full time","Rented",12,3,62,11,14,726.282044679422,169.498690506746,269.681142393753,580.755828310574,120.226865297601,NA,NA,NA,NA
5,2,3019.29919130635,37000,"full time","Rented",12,3,62,11,14,598.661688975538,293.517063001423,285.31617045982,588.498880669212,79.2138960887028,NA,NA,NA,NA
5,3,3308.65289199477,37000,"full time","Rented",12,3,62,11,14,991.77593310444,167.256987913665,168.331654066873,693.282772866977,109.65845072868,NA,NA,NA,NA
5,4,2814.28597737104,37000,"full time","Rented",12,3,62,11,14,796.598902433683,333.5367625676,157.307203197674,293.30120971886,61.2609930078064,NA,NA,NA,NA
5,5,2911.79489698649,37000,"full time","Rented",12,3,62,11,14,809.244687213242,205.659577164274,166.676900133224,704.036184895516,112.804293089174,NA,NA,NA,NA
5,6,2781.94203435366,37000,"full time","Rented",12,3,62,11,14,435.943941159386,335.825124737294,219.392050033905,393.778382790039,94.2599793066121,NA,NA,NA,NA
5,7,3204.7100185145,37000,"full time","Rented",12,3,62,11,14,520.014080217181,273.709785568646,285.204321535324,351.227848418228,121.721658556883,NA,NA,NA,NA
5,8,3142.29014335821,37000,"full time","Rented",12,3,62,11,14,779.145518364351,265.320752759882,247.238022719514,754.879461914149,80.2159967379234,NA,NA,NA,NA
5,9,3146.01710793795,37000,"full time","Rented",12,3,62,11,14,706.789494297814,426.856453857057,310.679017707078,521.943796579154,89.5616015884659,NA,NA,NA,NA
5,10,3387.8721701835,37000,"full time","Rented",12,3,62,11,14,945.155204878162,262.497388332941,269.348495266976,422.417248519537,155.750459057063,NA,NA,NA,NA
5,11,3018.64111595399,37000,"full time","Rented",12,3,62,11,14,553.743178101199,381.482289264214,212.687403735383,700.074008680745,33.0643853565663,NA,NA,NA,NA
5,12,3220.74488832926,37000,"full time","Rented",12,3,62,11,14,896.359462810908,210.848316378923,234.883114649841,748.21090697039,96.6217868734048,16457.3308769148,22,"Medical Expenses","Rejected"
6,1,5780.10965641588,68000,"part time","Own",11,9,53,13,9,636.053067617265,660.929219933996,481.856462652851,907.011417869527,143.823057729589,NA,NA,NA,NA
6,2,5985.65778589497,68000,"part time","Own",11,9,53,13,9,1012.3392483332,660.587150999809,492.702982397987,793.72599677066,249.271495316967,NA,NA,NA,NA
6,3,5551.54553575752,68000,"part time","Own",11,9,53,13,9,1194.49219421458,678.049986184047,283.870541733173,664.563273051755,213.925807642124,NA,NA,NA,NA
6,4,5889.50203106118,68000,"part time","Own",11,9,53,13,9,752.015317222394,402.992941906352,544.011914854272,1149.54119584626,61.0954414128853,NA,NA,NA,NA
6,5,5473.55019024884,68000,"part time","Own",11,9,53,13,9,979.331162015462,367.610694961184,444.925744668326,684.534482190421,242.013358625293,NA,NA,NA,NA
6,6,5230.20164822228,68000,"part time","Own",11,9,53,13,9,1507.33897086243,634.279966452508,518.487161481405,625.05074542778,86.4647777320895,NA,NA,NA,NA
6,7,5314.05459553935,68000,"part time","Own",11,9,53,13,9,945.202005618511,326.427154837938,457.34121527308,648.683537343156,186.81373154943,NA,NA,NA,NA
6,8,5901.7908004423,68000,"part time","Own",11,9,53,13,9,1003.01127668252,547.240638674288,323.821214864669,1027.62061792263,73.659483863454,NA,NA,NA,NA
6,9,6067.37650410893,68000,"part time","Own",11,9,53,13,9,1362.39835462157,629.308394214352,588.331548045113,926.927490923958,210.559307708444,NA,NA,NA,NA
6,10,5679.14497568272,68000,"part time","Own",11,9,53,13,9,1605.7530654921,551.160775034618,447.183687029925,813.372867254734,263.272738258248,NA,NA,NA,NA
6,11,5865.99046783522,68000,"part time","Own",11,9,53,13,9,1438.0928374888,379.603319192361,317.965144357749,830.382434298615,260.44907117297,NA,NA,NA,NA
6,12,5584.62331076153,68000,"part time","Own",11,9,53,13,9,1515.77839362883,734.12588990157,358.452832819613,1207.95895837095,144.665890457184,10955.2818948403,7,"Home Improvement","Approved"
7,1,5063.58804199845,66000,"part time","Rented",5,85,5,11,5,635.146080523785,311.904203353164,444.118772114923,549.558521880513,180.280133162191,NA,NA,NA,NA
7,2,5530.18540795892,66000,"part time","Rented",5,85,5,11,5,996.234098255232,423.316667182629,351.676343574507,887.102382432893,58.019057758423,NA,NA,NA,NA
7,3,5887.0603478048,66000,"part time","Rented",5,85,5,11,5,1741.82447454257,531.626399530438,552.145711555745,803.576688021231,108.632624263177,NA,NA,NA,NA
7,4,5166.76300542895,66000,"part time","Rented",5,85,5,11,5,577.752186182549,391.327599964415,314.86333504499,911.651378279398,175.848387557278,NA,NA,NA,NA
7,5,5328.42900773976,66000,"part time","Rented",5,85,5,11,5,995.51598186632,532.397177829295,355.02703274119,1008.25656037664,170.756838980894,NA,NA,NA,NA
7,6,5856.88136522658,66000,"part time","Rented",5,85,5,11,5,1058.3986618217,774.74189662738,408.415421670176,876.11603416193,268.894268622132,NA,NA,NA,NA
7,7,6023.7043635454,66000,"part time","Rented",5,85,5,11,5,1080.75914336468,344.130450374887,385.014950395588,1045.32247200179,96.8291404598736,NA,NA,NA,NA
7,8,5087.13501081802,66000,"part time","Rented",5,85,5,11,5,676.672250862993,618.220996900786,462.14195241132,998.156026356092,124.244157697387,NA,NA,NA,NA
7,9,5832.87885310128,66000,"part time","Rented",5,85,5,11,5,1333.39738449134,381.740444474342,433.275156825629,1057.30402348382,265.552568780224,NA,NA,NA,NA
7,10,5341.39794667717,66000,"part time","Rented",5,85,5,11,5,1372.47587399143,648.403174177805,450.23404080069,781.346679399629,108.944743474181,NA,NA,NA,NA
7,11,5525.23471461609,66000,"part time","Rented",5,85,5,11,5,679.847328376805,310.182707816306,312.410471629425,960.135530964031,151.599819161626,NA,NA,NA,NA
7,12,5454.70138206147,66000,"part time","Rented",5,85,5,11,5,1535.45802972548,431.529424821199,286.048502114442,1284.3078193594,254.585471473905,10924.3484213948,18,"Major Purchase","Approved"
8,1,3866.32856890404,43000,"full time","Own",20,78,89,1,10,860.352339889084,491.089246057502,377.838090765777,617.066059949161,72.3140424026756,NA,NA,NA,NA
8,2,3494.28537877199,43000,"full time","Own",20,78,89,1,10,721.497370718658,284.188289895129,205.677359554717,491.840936502643,148.495949175098,NA,NA,NA,NA
8,3,3854.57068201698,43000,"full time","Own",20,78,89,1,10,683.276161862823,229.431300141205,318.376494075715,613.065645420402,161.762379134756,NA,NA,NA,NA
8,4,3552.74897434671,43000,"full time","Own",20,78,89,1,10,824.459075533274,525.260225852798,327.563763776683,628.059236167533,53.7486007861839,NA,NA,NA,NA
8,5,3456.04740635802,43000,"full time","Own",20,78,89,1,10,819.230174564438,494.21633484288,208.560800194164,518.966324482805,93.6520799070474,NA,NA,NA,NA
8,6,3413.7613784483,43000,"full time","Own",20,78,89,1,10,753.925431258052,234.11989046005,241.236733888903,523.167874843942,55.7890152444874,NA,NA,NA,NA
8,7,3756.44200708096,43000,"full time","Own",20,78,89,1,10,375.863043327485,250.868108098265,328.287235468087,478.518471562626,41.7049593733661,NA,NA,NA,NA
8,8,3259.49206571871,43000,"full time","Own",20,78,89,1,10,434.465234562957,369.351355413049,309.126342272879,732.110900126243,148.269014688071,NA,NA,NA,NA
8,9,3761.99355442465,43000,"full time","Own",20,78,89,1,10,818.197523946996,273.807437052683,253.994884784703,427.222786985399,132.952404717961,NA,NA,NA,NA
8,10,3405.59814739972,43000,"full time","Own",20,78,89,1,10,749.694819373098,237.185489304979,268.537551547223,752.235286164815,76.7183639432469,NA,NA,NA,NA
8,11,3847.68715422833,43000,"full time","Own",20,78,89,1,10,443.107989005116,245.229647632524,380.952624243319,821.444545054144,130.86863185001,NA,NA,NA,NA
8,12,3410.65109067907,43000,"full time","Own",20,78,89,1,10,399.422402819287,299.106464977089,228.356723805416,732.441952885965,75.9864666834667,19650.269288104,11,"Debt Consolidation","Rejected"
9,1,7424.5992024662,90000,"part time","Rented",3,27,33,10,10,1092.50119488125,808.057680079768,680.54433294331,1844.70032621609,204.240808120152,NA,NA,NA,NA
9,2,8244.26578183193,90000,"part time","Rented",3,27,33,10,10,1286.27542724296,1233.84463698695,721.244902655901,1589.45815652225,348.176153246939,NA,NA,NA,NA
9,3,7291.46369174123,90000,"part time","Rented",3,27,33,10,10,1284.77897160346,802.155069643333,383.935446733495,1330.40594473672,130.123794934269,NA,NA,NA,NA
9,4,7288.59740565531,90000,"part time","Rented",3,27,33,10,10,1170.35452792152,379.757148947962,515.549949481082,1409.60062474655,238.065919724931,NA,NA,NA,NA
9,5,7033.6411659373,90000,"part time","Rented",3,27,33,10,10,1542.64142141497,595.74089611332,558.63753618771,1381.30567702948,99.2119435811537,NA,NA,NA,NA
9,6,6996.51309382171,90000,"part time","Rented",3,27,33,10,10,2074.63855953766,453.751043217802,698.68605599978,1141.49103393177,340.773528921362,NA,NA,NA,NA
9,7,6994.281025487,90000,"part time","Rented",3,27,33,10,10,1477.35133562682,620.745874961405,402.112355472012,1486.48891306777,243.335782491238,NA,NA,NA,NA
9,8,7842.17252105009,90000,"part time","Rented",3,27,33,10,10,1885.09589665535,1172.42739441173,583.831503219889,1365.93898094966,300.546435547358,NA,NA,NA,NA
9,9,7330.39037324488,90000,"part time","Rented",3,27,33,10,10,1739.2677693495,383.548295867767,639.744129839643,1661.48956890433,255.234292125566,NA,NA,NA,NA
9,10,7777.48319890816,90000,"part time","Rented",3,27,33,10,10,1951.392500837,1056.74995891394,407.669377379183,1097.16975379629,123.227769919168,NA,NA,NA,NA
9,11,8218.35828060284,90000,"part time","Rented",3,27,33,10,10,1535.0074062007,994.898874512157,631.462805481771,1089.01117371065,163.396155226623,NA,NA,NA,NA
9,12,7455.38865029812,90000,"part time","Rented",3,27,33,10,10,2170.1057631557,977.020359357442,505.268299719463,1752.13714165612,195.758861642819,8966.0580191412,11,"Major Purchase","Approved"
10,1,4514.17284710333,56000,"full time","Own",9,95,14,9,5,1217.65322191859,258.54214556095,312.784807125151,455.330764829503,136.676749795838,NA,NA,NA,NA
10,2,5002.90399752557,56000,"full time","Own",9,95,14,9,5,1485.05615195001,286.472755075832,432.888088158202,1013.35695757225,56.7706040372772,NA,NA,NA,NA
10,3,5037.49724611019,56000,"full time","Own",9,95,14,9,5,881.443198379669,751.232020659917,348.8106473257,922.249096497312,210.629154324681,NA,NA,NA,NA
10,4,4787.07856079563,56000,"full time","Own",9,95,14,9,5,504.245102185354,431.216144398752,268.07209648923,1160.36601026958,88.9238034781832,NA,NA,NA,NA
10,5,4271.11135177935,56000,"full time","Own",9,95,14,9,5,904.280120117373,539.616927746431,407.474233690148,477.229042840926,117.129613294821,NA,NA,NA,NA
10,6,5051.50399931396,56000,"full time","Own",9,95,14,9,5,856.849834507121,289.606016451835,424.478576066525,623.044032340133,55.0502060473979,NA,NA,NA,NA
10,7,4790.69286960488,56000,"full time","Own",9,95,14,9,5,1119.68022771351,657.822977675644,297.259447387588,999.098850128578,93.7452889016775,NA,NA,NA,NA
10,8,5004.26606436571,56000,"full time","Own",9,95,14,9,5,1464.45888700264,350.185296043007,457.041181311723,864.439734240498,182.326820481775,NA,NA,NA,NA
10,9,4962.43894820412,56000,"full time","Own",9,95,14,9,5,1020.4634341487,402.618347142336,287.892640071187,774.071667019293,84.8594884370306,NA,NA,NA,NA
10,10,4689.11597744251,56000,"full time","Own",9,95,14,9,5,1064.13890932815,385.50187847627,267.868080557116,634.783315491055,209.585490108485,NA,NA,NA,NA
10,11,5032.72903993105,56000,"full time","Own",9,95,14,9,5,1351.13155663279,368.455647256221,335.510513783465,510.05371070343,203.479939764886,NA,NA,NA,NA
10,12,4491.43647449091,56000,"full time","Own",9,95,14,9,5,482.450120314511,520.567818710525,249.355795455214,1016.11789823645,195.137584573682,3916.71382430941,15,"Major Purchase","Rejected"
11,1,3377.61552499142,39000,"full time","Own",18,60,36,9,5,852.332896820171,324.067452318114,290.840425220987,536.244110181718,109.178476099275,NA,NA,NA,NA
11,2,3050.72017518105,39000,"full time","Own",18,60,36,9,5,664.058710330641,289.768023248023,247.202711457753,717.431518086333,103.879310733622,NA,NA,NA,NA
11,3,3463.19785550004,39000,"full time","Own",18,60,36,9,5,929.409284253454,378.987079372232,176.456829705192,793.578200993742,156.640498900645,NA,NA,NA,NA
11,4,3223.09993910603,39000,"full time","Own",18,60,36,9,5,778.49006025783,381.771894681957,298.982214884925,654.742786252462,62.5437271375986,NA,NA,NA,NA
11,5,3536.51419534581,39000,"full time","Own",18,60,36,9,5,448.94753061899,209.937680233071,231.570760915962,799.224157410618,82.7788111947254,NA,NA,NA,NA
11,6,3049.17610998964,39000,"full time","Own",18,60,36,9,5,427.472004000721,379.556602566053,287.216742246304,761.114864419402,123.842042942753,NA,NA,NA,NA
11,7,3334.61786118569,39000,"full time","Own",18,60,36,9,5,675.323647286637,315.293798587322,302.40217790524,644.392348420477,109.968841918859,NA,NA,NA,NA
11,8,3266.21591864387,39000,"full time","Own",18,60,36,9,5,396.707088583486,280.765167421041,213.074566701742,739.66193406465,135.998454162833,NA,NA,NA,NA
11,9,3513.21108961711,39000,"full time","Own",18,60,36,9,5,437.557962128179,511.728985118228,314.16573765245,499.473336010036,37.8585501002776,NA,NA,NA,NA
11,10,3471.55726511264,39000,"full time","Own",18,60,36,9,5,759.432933324306,412.333912606879,346.233551829718,447.226428274206,70.5661015689841,NA,NA,NA,NA
11,11,3003.96487528924,39000,"full time","Own",18,60,36,9,5,357.096753352998,204.419345706566,150.723222726745,557.571908222481,141.551751975845,NA,NA,NA,NA
11,12,3227.10922199767,39000,"full time","Own",18,60,36,9,5,328.472867779758,325.088530567573,239.983566394414,607.736355129143,40.8544187054791,3194.24071674002,18,"Debt Consolidation","Approved"
12,1,3381.5276871901,45000,"full time","Rented",12,68,58,13,8,431.703906836924,442.378490422647,310.946992586886,628.625923964255,160.663612019653,NA,NA,NA,NA
12,2,3961.65801066672,45000,"full time","Rented",12,68,58,13,8,445.914772384479,235.563533314175,373.905757636103,905.69605423571,177.212266832573,NA,NA,NA,NA
12,3,3741.04231089586,45000,"full time","Rented",12,68,58,13,8,707.412189138373,422.037339228204,344.18362065126,636.39664108292,56.4969968248207,NA,NA,NA,NA
12,4,3509.87861881731,45000,"full time","Rented",12,68,58,13,8,372.818737966483,378.313201733175,345.057903238407,611.430681896343,41.4610269393577,NA,NA,NA,NA
12,5,3375.67692773882,45000,"full time","Rented",12,68,58,13,8,948.510856033089,222.297108852033,234.679850360472,362.825368442825,117.935567441972,NA,NA,NA,NA
12,6,3649.09848320531,45000,"full time","Rented",12,68,58,13,8,366.660054921151,485.605057876307,301.642307307399,560.004222337384,91.2790094593914,NA,NA,NA,NA
12,7,4018.45576276537,45000,"full time","Rented",12,68,58,13,8,1107.42232091337,510.761093576455,247.792365780004,547.323033924479,153.0191616569,NA,NA,NA,NA
12,8,3810.1901091286,45000,"full time","Rented",12,68,58,13,8,821.279647437261,364.851623091737,319.566867515822,583.378735503175,55.0678798263071,NA,NA,NA,NA
12,9,3628.47759935539,45000,"full time","Rented",12,68,58,13,8,417.143025741697,487.496480351339,269.914366004962,444.863592228155,77.5646116922844,NA,NA,NA,NA
12,10,3499.72377216909,45000,"full time","Rented",12,68,58,13,8,561.109667952528,513.964755501072,268.997484468522,832.449789649425,56.0061819372034,NA,NA,NA,NA
12,11,3532.48971345602,45000,"full time","Rented",12,68,58,13,8,980.394662960513,353.49940316842,312.185440532081,454.161296937317,138.92127970941,NA,NA,NA,NA
12,12,3447.18845636817,45000,"full time","Rented",12,68,58,13,8,374.861888159667,481.187249277745,179.031008779409,553.970205564566,34.6300923436073,5087.50810385682,20,"Medical Expenses","Approved"
13,1,1926.33657446131,22000,"full time","Own",5,12,16,8,20,334.775960005082,229.872783732247,111.749614630841,459.232340825998,53.8638199719665,NA,NA,NA,NA
13,2,1977.5777655576,22000,"full time","Own",5,12,16,8,20,476.212874546797,137.63005443916,125.809467749913,393.695297480685,88.657950459562,NA,NA,NA,NA
13,3,1835.4504666524,22000,"full time","Own",5,12,16,8,20,328.418917004107,242.565447910358,164.393861353945,230.098709121631,31.829235736709,NA,NA,NA,NA
13,4,1953.52193918079,22000,"full time","Own",5,12,16,8,20,296.702067089912,148.137447020038,165.153811311814,209.716545746876,84.5693703276358,NA,NA,NA,NA
13,5,1686.48924777129,22000,"full time","Own",5,12,16,8,20,187.6955229438,102.054863277935,152.035452756086,379.739239134527,24.9781874642645,NA,NA,NA,NA
13,6,1723.11273728653,22000,"full time","Own",5,12,16,8,20,226.601920813034,123.101574602574,165.423885473323,205.736509259932,78.9266433087572,NA,NA,NA,NA
13,7,1867.07670297474,22000,"full time","Own",5,12,16,8,20,331.630136719142,106.791541414498,110.608837969286,319.274471848798,90.2420717460215,NA,NA,NA,NA
13,8,2006.15476227055,22000,"full time","Own",5,12,16,8,20,364.724731200682,204.918362039383,145.676768223053,496.19809408216,53.3033144167583,NA,NA,NA,NA
13,9,1846.19904990929,22000,"full time","Own",5,12,16,8,20,544.239876155866,247.547360745299,135.70416921302,271.008916044662,35.2945659574972,NA,NA,NA,NA
13,10,1711.10895457678,22000,"full time","Own",5,12,16,8,20,296.83344373756,160.693468209005,87.1016956793699,213.111796753675,56.1421534472679,NA,NA,NA,NA
13,11,1879.32169903846,22000,"full time","Own",5,12,16,8,20,199.627617613048,209.461813776301,127.790642473717,400.213574816776,72.8656280324305,NA,NA,NA,NA
13,12,1881.22951497789,22000,"full time","Own",5,12,16,8,20,290.891725331713,240.725112097518,151.109782493364,330.757658375814,38.5362985834167,8905.1380737219,9,"Medical Expenses","Rejected"
14,1,4683.39858204126,60000,"full time","Own",14,28,39,11,12,854.220694763721,655.622655313358,335.173617917345,831.473015181494,70.7359965330456,NA,NA,NA,NA
14,2,5459.42251826637,60000,"full time","Own",14,28,39,11,12,1056.01279627019,589.389146005262,520.377227345124,1273.00165127621,133.909735175064,NA,NA,NA,NA
14,3,5234.41688157618,60000,"full time","Own",14,28,39,11,12,1544.26567588328,269.866620222896,314.48101130764,587.842051074413,57.7674231835405,NA,NA,NA,NA
14,4,5031.39381459914,60000,"full time","Own",14,28,39,11,12,760.291994729759,555.60317539235,431.808110373139,1116.9783564768,177.229580578811,NA,NA,NA,NA
14,5,5043.16594847478,60000,"full time","Own",14,28,39,11,12,1257.47186237804,427.28482110496,485.851049131601,756.716774743527,96.2082826024654,NA,NA,NA,NA
14,6,4765.69355116226,60000,"full time","Own",14,28,39,11,12,531.869613238569,599.440965707854,289.84905581452,822.831873250468,141.629327595334,NA,NA,NA,NA
14,7,4742.57333995774,60000,"full time","Own",14,28,39,11,12,964.154231057175,277.88179761185,445.89792608422,907.353976016884,197.541589656695,NA,NA,NA,NA
14,8,5427.38627525978,60000,"full time","Own",14,28,39,11,12,827.12108239089,722.898754120876,412.813982669826,694.163183586131,242.447966816879,NA,NA,NA,NA
14,9,4654.38313153572,60000,"full time","Own",14,28,39,11,12,1395.66988581233,618.761383288301,315.658427663923,1054.0095396371,121.736701382432,NA,NA,NA,NA
14,10,5201.39295025729,60000,"full time","Own",14,28,39,11,12,762.210963530974,330.083846155075,454.969524650083,600.34019802165,126.001670543127,NA,NA,NA,NA
14,11,5457.50216837041,60000,"full time","Own",14,28,39,11,12,1224.02012944403,456.394463740655,363.496671309025,909.11761265851,265.468165552861,NA,NA,NA,NA
